
 0 	 31	 6
 2 	 29	 1
 2 	 23	 6
 2 	 17	 2
 2 	 13	 4
 2 	 29	 0
 2 	 23	 0
 2 	 29	 6
 0 	 24	 4
 0 	 28	 1
 2 	 8	 7
 0 	 17	 6
 0 	 22	 5
 2 	 29	 5
 0 	 12	 6
 0 	 1	 6
 0 	 30	 0
 0 	 33	 5
 0 	 7	 2
 0 	 25	 3
 0 	 3	 5
 0 	 12	 5
 0 	 9	 0
 0 	 9	 1
 0 	 1	 5
 0 	 25	 2
 0 	 20	 5
 0 	 18	 2
 0 	 4	 3
 0 	 16	 6
 0 	 28	 0
 0 	 19	 5
 2 	 7	 4
 2 	 29	 7
 2 	 2	 2
 2 	 8	 2
 2 	 13	 5
 2 	 19	 1
 2 	 8	 3
 2 	 29	 2
 2 	 1	 4
 2 	 23	 7
 2 	 34	 4
 2 	 31	 6
 2 	 7	 5
 2 	 13	 6
 2 	 23	 1
 2 	 13	 0
 0 	 34	 2
 0 	 4	 1
 0 	 23	 3
 0 	 28	 7
 0 	 25	 0
 0 	 12	 4
 0 	 15	 6
 0 	 18	 5
 0 	 17	 2
 0 	 34	 3
 0 	 4	 2
 0 	 22	 4
 0 	 3	 4
 0 	 25	 1
 0 	 7	 1
 0 	 33	 4
 2 	 29	 3
 2 	 2	 3
 2 	 28	 4
 2 	 34	 5
 2 	 20	 1
 2 	 7	 6
 2 	 13	 7
 2 	 18	 2
 2 	 13	 1
 2 	 34	 0
 2 	 23	 2
 2 	 28	 5
 2 	 34	 6
 2 	 1	 5
 2 	 7	 7
 2 	 15	 5
 0 	 16	 2
 0 	 28	 5
 0 	 19	 4
 0 	 23	 2
 0 	 13	 2
 0 	 16	 5
 0 	 20	 1
 0 	 34	 1
 0 	 4	 0
 0 	 7	 7
 0 	 28	 6
 0 	 20	 4
 0 	 1	 4
 0 	 13	 3
 0 	 17	 5
 0 	 7	 0
 2 	 7	 0
 2 	 13	 2
 2 	 34	 1
 2 	 31	 7
 2 	 28	 6
 2 	 34	 7
 2 	 23	 3
 2 	 13	 3
 2 	 16	 5
 2 	 22	 4
 2 	 12	 4
 2 	 34	 2
 2 	 7	 1
 2 	 28	 7
 2 	 4	 0
 2 	 22	 5
 0 	 17	 4
 0 	 31	 5
 0 	 13	 0
 0 	 13	 7
 0 	 2	 2
 0 	 28	 4
 0 	 34	 6
 0 	 23	 1
 0 	 29	 3
 0 	 18	 4
 0 	 7	 6
 0 	 13	 1
 0 	 15	 5
 0 	 2	 3
 0 	 34	 0
 0 	 34	 7
 2 	 15	 6
 2 	 17	 5
 2 	 17	 3
 2 	 33	 4
 2 	 34	 3
 2 	 1	 6
 2 	 12	 5
 2 	 4	 1
 2 	 28	 0
 2 	 16	 6
 2 	 18	 5
 2 	 7	 2
 2 	 33	 5
 2 	 3	 4
 2 	 7	 3
 2 	 17	 6
 0 	 29	 0
 0 	 13	 5
 0 	 2	 1
 0 	 8	 2
 0 	 34	 4
 0 	 20	 0
 0 	 29	 1
 0 	 16	 4
 0 	 23	 0
 0 	 23	 7
 0 	 13	 6
 0 	 7	 5
 0 	 8	 3
 0 	 34	 5
 0 	 19	 1
 0 	 29	 2
 2 	 4	 2
 2 	 22	 6
 2 	 28	 1
 2 	 19	 5
 2 	 19	 2
 2 	 12	 6
 2 	 3	 5
 2 	 1	 0
 2 	 33	 6
 2 	 4	 3
 2 	 1	 7
 2 	 18	 6
 2 	 20	 5
 2 	 12	 0
 2 	 33	 7
 2 	 3	 6
 0 	 18	 0
 0 	 8	 0
 0 	 29	 6
 0 	 2	 0
 0 	 24	 3
 0 	 14	 3
 0 	 18	 1
 0 	 8	 1
 0 	 13	 4
 0 	 19	 0
 0 	 23	 6
 0 	 29	 7
 0 	 15	 2
 0 	 7	 4
 0 	 15	 4
 0 	 32	 3
 2 	 22	 7
 2 	 28	 2
 2 	 9	 0
 2 	 12	 1
 2 	 12	 7
 2 	 24	 4
 2 	 20	 2
 2 	 19	 6
 2 	 9	 1
 2 	 18	 3
 2 	 20	 6
 2 	 24	 5
 2 	 6	 4
 2 	 15	 7
 2 	 3	 7
 2 	 27	 4
 0 	 29	 4
 0 	 32	 7
 0 	 23	 4
 0 	 14	 1
 0 	 31	 4
 0 	 24	 1
 0 	 8	 6
 0 	 17	 0
 0 	 24	 2
 0 	 29	 5
 0 	 17	 1
 0 	 23	 5
 0 	 14	 2
 0 	 32	 2
 0 	 2	 7
 0 	 8	 7
 2 	 28	 3
 2 	 9	 2
 2 	 6	 5
 2 	 3	 0
 2 	 9	 3
 2 	 22	 0
 2 	 16	 7
 2 	 24	 6
 2 	 1	 1
 2 	 33	 0
 2 	 8	 4
 2 	 27	 5
 2 	 3	 1
 2 	 24	 7
 2 	 22	 1
 2 	 33	 1
 0 	 19	 7
 0 	 9	 2
 0 	 11	 2
 0 	 2	 5
 0 	 9	 3
 0 	 32	 1
 0 	 3	 3
 0 	 24	 7
 0 	 11	 3
 0 	 20	 7
 0 	 14	 0
 0 	 16	 1
 0 	 24	 0
 0 	 8	 5
 0 	 15	 1
 0 	 2	 6
 2 	 17	 7
 2 	 1	 2
 2 	 14	 0
 2 	 12	 3
 2 	 1	 3
 2 	 29	 4
 2 	 18	 7
 2 	 19	 3
 2 	 8	 5
 2 	 33	 2
 2 	 22	 2
 2 	 8	 6
 2 	 24	 0
 2 	 6	 6
 2 	 24	 1
 2 	 27	 7
 0 	 32	 4
 0 	 3	 6
 0 	 27	 3
 0 	 18	 7
 0 	 24	 5
 0 	 11	 1
 0 	 33	 3
 0 	 3	 7
 0 	 26	 7
 0 	 16	 0
 0 	 20	 6
 0 	 32	 6
 0 	 3	 2
 0 	 24	 6
 0 	 32	 0
 0 	 2	 4
 2 	 6	 7
 2 	 24	 2
 2 	 15	 0
 2 	 0	 5
 2 	 24	 3
 2 	 3	 2
 2 	 12	 2
 2 	 3	 3
 2 	 19	 7
 2 	 6	 0
 2 	 8	 0
 2 	 32	 4
 2 	 20	 3
 2 	 8	 1
 2 	 11	 5
 2 	 27	 6
 0 	 27	 2
 0 	 11	 5
 0 	 33	 6
 0 	 32	 5
 0 	 27	 7
 0 	 33	 7
 0 	 26	 6
 0 	 17	 7
 0 	 18	 6
 0 	 16	 3
 0 	 3	 1
 0 	 19	 6
 0 	 11	 0
 0 	 15	 0
 0 	 3	 0
 0 	 11	 7
 2 	 20	 7
 2 	 33	 3
 2 	 22	 3
 2 	 23	 4
 2 	 2	 4
 2 	 21	 4
 2 	 23	 5
 2 	 16	 0
 2 	 11	 4
 2 	 2	 5
 2 	 11	 6
 2 	 0	 6
 2 	 2	 6
 2 	 27	 1
 2 	 0	 7
 2 	 2	 7
 0 	 28	 2
 0 	 6	 3
 0 	 27	 0
 0 	 28	 3
 0 	 10	 7
 0 	 11	 4
 0 	 33	 0
 0 	 15	 3
 0 	 12	 3
 0 	 12	 7
 0 	 26	 5
 0 	 33	 1
 0 	 15	 7
 0 	 11	 6
 0 	 33	 2
 0 	 16	 7
 2 	 17	 0
 2 	 6	 1
 2 	 18	 0
 2 	 32	 5
 2 	 27	 0
 2 	 19	 0
 2 	 32	 6
 2 	 6	 2
 2 	 20	 0
 2 	 27	 2
 2 	 6	 3
 2 	 32	 7
 2 	 11	 7
 2 	 5	 4
 2 	 2	 0
 2 	 15	 1
 0 	 6	 6
 0 	 22	 7
 0 	 0	 4
 0 	 6	 7
 0 	 27	 4
 0 	 10	 6
 0 	 22	 3
 0 	 7	 3
 0 	 6	 1
 0 	 27	 5
 0 	 12	 0
 0 	 6	 2
 0 	 27	 6
 0 	 12	 1
 0 	 27	 1
 0 	 12	 2
 2 	 21	 0
 2 	 2	 1
 2 	 27	 3
 2 	 21	 5
 2 	 16	 1
 2 	 11	 0
 2 	 21	 6
 2 	 17	 1
 2 	 32	 0
 2 	 21	 7
 2 	 18	 1
 2 	 11	 1
 2 	 5	 5
 2 	 32	 1
 2 	 11	 2
 2 	 21	 1
 0 	 10	 4
 0 	 1	 2
 0 	 22	 0
 0 	 31	 3
 0 	 1	 3
 0 	 1	 7
 0 	 21	 6
 0 	 22	 1
 0 	 6	 4
 0 	 10	 5
 0 	 6	 0
 0 	 6	 5
 0 	 21	 7
 0 	 22	 2
 0 	 22	 6
 0 	 26	 4
 2 	 32	 2
 2 	 26	 4
 2 	 5	 6
 2 	 32	 3
 2 	 26	 5
 2 	 21	 3
 2 	 11	 3
 2 	 26	 6
 2 	 5	 7
 2 	 15	 2
 2 	 10	 4
 2 	 21	 2
 2 	 16	 2
 2 	 10	 5
 2 	 26	 0
 2 	 26	 7
 0 	 19	 3
 0 	 26	 3
 0 	 5	 5
 0 	 31	 7
 0 	 31	 0
 0 	 5	 6
 0 	 1	 0
 0 	 31	 2
 0 	 20	 3
 0 	 1	 1
 0 	 5	 7
 0 	 21	 4
 0 	 19	 2
 0 	 31	 1
 0 	 21	 5
 0 	 20	 2
 2 	 10	 6
 2 	 26	 1
